id;r1;r2;r3
2511;2596294;-13.5837;4.22181
2517;3060979;-14.5201;6.14015
2530;5950633;-13.8294;4.185919999999999
2536;4096386;-14.054;4.5473300000000005
2539;1250122;-13.4935;4.27718
2544;4130970;-10.7448;2.99926
2552;1651357;-14.037;4.99825
2560;3270564;-14.6289;5.3822
2561;5877792;-9.783669999999999;1.8419
2564;5073339;-15.7591;4.3731
2565;4462798;-13.8748;5.8555
2566;5967578;-10.6211;3.13511
2576;2981361;-10.3497;3.14109
2578;2728081;-14.5941;6.57493
2580;1560814;-14.0458;5.70501
2591;3516139;-14.079;4.031540000000001
2593;5473293;-16.5769;6.82447
2595;1226208;-10.5451;1.9796799999999999
2597;3511324;-10.696;3.17595
2602;2697107;-14.3301;4.05422
2606;4745574;-13.4369;4.72803
2609;4893225;-9.1121;3.5129099999999998
2611;4155421;-10.0219;2.77218
2620;6002772;-14.5493;3.67795
2622;3144613;-14.2958;4.7502
2623;1285671;-13.5338;4.52122
2634;2431677;-9.93764;3.5557300000000005
2636;5921377;-10.0173;1.5816
2638;1774498;-10.5736;3.55305
2639;2447968;-8.87841;-1.07236
2645;3948181;-10.0369;3.10013
2649;2955510;-13.9091;4.1231800000000005
2651;4331732;-11.0683;2.6865099999999997
2654;4871856;-10.2984;2.94118
2658;5517147;-14.4577;5.6715
2661;3159284;-14.1442;4.67955
2668;3037041;-10.6503;2.65876
2672;5986142;-14.095999999999998;4.039630000000001
2676;3597988;-14.3001;4.57229
2688;3821368;-14.1695;3.98956
2690;1058955;-14.3671;4.28878
2692;1591636;-13.4658;4.53693
2694;2204611;-15.0134;4.6046
2695;1026003;-13.584000000000001;4.59464
2697;2361180;-10.7937;2.65465
2698;3669069;-10.7505;2.16662
2705;4915285;-13.6859;4.61434
2708;4044999;-10.3092;2.93729
2713;2242395;-14.1006;6.0362599999999995
2727;2939729;-7.948580000000001;1.25415
2739;3326572;-10.7994;3.4800400000000002
2742;5387544;-10.4623;1.81492
2744;3916771;-9.3836;3.87765
2745;2278639;-15.7626;4.83902
2749;2514940;-14.5337;5.7451300000000005
2757;5442690;-14.4859;3.8690800000000003
2761;4630452;-8.38565;1.23725
2771;2983442;-10.7804;2.86625
2773;3663320;-8.46386;3.8892599999999997
2774;4270213;-10.9804;3.13504
2775;2034056;-9.04526;3.5720400000000003
2785;3615455;-9.56335;3.31459
2787;4097821;-10.5688;2.90251
2788;3155838;-14.1856;4.33534
2797;3233060;-9.0514;2.60292
2798;3650412;-9.38826;3.1997299999999997
2801;3386649;-13.8649;4.2645599999999995
2806;5543492;-10.3422;0.8078890000000001
2808;4126737;-13.3986;5.01429
2810;4898599;-13.7029;5.01306
2812;5182579;-15.58;5.18818
2815;4961370;-15.777999999999999;5.2553
2816;2649781;-10.6817;1.97678
2820;1232160;-14.8027;4.53989
2822;1900464;-13.4785;4.6399300000000006
2824;1267098;-9.73378;2.1969
2829;4336784;-13.8891;5.92052
2831;3134161;-13.8835;5.32324
2832;3744282;-10.0831;3.20245
2837;5101182;-9.7369;2.5451799999999998
2841;2018749;-14.2247;4.4965
2844;2389506;-9.97536;1.48865
2849;4963594;-8.6037;0.297482
2855;2719672;-10.0851;3.56866
2857;4245034;-8.70796;1.47599
2858;2149684;-13.9248;4.099559999999999
2859;1381224;-10.9587;3.33075
2861;4480721;-13.7222;3.90752
2863;3852660;-9.41119;1.0990799999999998
2865;2826356;-16.2563;4.76685
2881;1786140;-9.981860000000001;2.93158
2882;1159885;-13.4769;4.86894
2885;6022686;-16.243;5.81925
2888;2989684;-13.6609;5.33329
2892;5863710;-14.9393;5.09722
2912;1329451;-8.59896;2.2601400000000003
2925;2572623;-14.0149;4.0641300000000005
2926;3132773;-9.65267;3.22934
2928;5319596;-9.39833;1.7729400000000002
2930;5654235;-16.2409;3.6805199999999996
2938;5134687;-10.7698;2.5087200000000003
2942;5492376;-15.5576;6.29101
2948;3943196;-14.0945;4.705419999999999
2953;4441318;-15.3657;5.8681
2955;1518636;-10.4237;3.1391400000000003
2956;4329543;-7.66947;4.16564
2967;2044723;-15.1846;4.8314699999999995
2979;5292496;-9.91164;2.76044
2984;2128487;-10.6291;2.7252099999999997
2985;5607952;-13.4963;4.11801
2988;3939119;-14.8986;6.33849
3004;3558638;-9.80936;3.8565
3012;3446156;-9.76407;3.40403
3014;4237246;-14.3084;4.33526
3024;3834422;-10.377;3.44175
3029;1689740;-13.9164;4.02214
3031;3082933;-15.2722;4.2643699999999995
3038;4980983;-10.6248;3.14693
3039;3386980;-13.394;4.67572
3045;4481545;-15.6071;5.36514
3048;5964312;-14.866;5.458019999999999
3051;1105562;-14.1863;4.22949
3053;2993050;-13.6673;4.15266
3056;1879377;-10.3885;3.33667
3063;4423556;-13.9885;5.71506
3067;3194961;-11.1745;2.70502
3068;2613093;-13.4493;4.50213
3071;2252529;-13.8705;4.6593800000000005
3074;2839496;-14.3134;5.4101
3078;5181298;-10.545;2.6963
3080;5337122;-8.31377;3.2393
3089;2048593;-14.4028;5.78752
3091;4545516;-9.25093;1.76853
3097;3444538;-10.6713;3.09612
3098;4805520;-14.1751;4.11846
3101;3091051;-14.1175;3.8996699999999995
3105;3960943;-10.5045;2.61539
3123;5728978;-10.603;1.82285
3125;5038599;-9.82104;2.57265
3126;2970731;-10.4859;3.18309
3128;4424570;-13.4363;4.37338
3133;4368541;-14.5952;5.1615400000000005
3134;5527070;-15.3095;3.62866
3136;4108724;-13.7085;5.08499
3137;1871106;-9.83498;3.1765
3138;3998009;-10.7378;3.21596
3140;5301617;-13.8825;4.259180000000001
3141;5367617;-13.3732;4.99774
3145;4647019;-10.6211;1.601
3149;1372909;-10.017999999999999;2.46702
3153;4081298;-15.1526;4.31475
3155;3179763;-10.5443;2.75355
3161;4889559;-13.8441;4.81829
3165;4708444;-8.0539;3.21602
3166;5903720;-14.7074;7.33126
3170;1124497;-9.93318;2.59671
3173;2191724;-9.7005;3.88174
3179;5860272;-13.9581;5.770980000000001
3186;5009741;-14.5398;4.86219
3187;2778994;-10.7375;1.60096
3188;4847145;-14.8837;3.6934699999999996
3206;4656715;-10.5897;3.3563099999999997
3216;3788683;-9.867280000000001;3.4019
3225;2855601;-14.2663;6.5940199999999995
3232;2655886;-14.4812;5.07934
3234;1360389;-9.40365;2.24497
3235;3663457;-7.63743;2.69208
